https://item.jd.com/6223237.html,"['京鲜生山竹', '6223237', '1.6kg', '泰国', '油竹', '冷藏', '5A', '泰国']"
用户名,评分,评论
w***呀,star5,个头挺大 比外面买的便宜一些 有坏果 京东已经理赔了 有合适的还会继续买的 家人也很喜欢吃 价格合适 还会继续买的 希望再便宜一些
狗***4,star5,家里公司全部用的东西几乎都是在京东的，买了那么多东西几乎都挺好的，唯独山竹最不好，后面买了这一箱没有一个好的，但是售后很快就解决了。
l***8,star5,一直比较喜欢吃山竹，酸酸甜甜的，就是壳比较占分量，但还是喜欢?收货后包装完整，保温箱加冰袋运输，山竹也比较新鲜，当天每人试吃了五个
用***_,star5,这个水果还是挺好吃的，买的多的话，价格很划算，所以还是挺不错的产品，我给家里人买的，家里人吃了之后觉得挺好的，挺好的，水果营养又健康。
K***t,star5,爱生活爱点评经常在网上买东西，但是第一次在网上买山竹还可以吧，没有榴莲和椰子的品控那么好三分之二都是好的，还可以物流速度比较快，包装还可以
武***6,star5,酸酸甜甜就是比较不错，寄过来的时候都是硬邦邦的，需要放几天才可以吃，整体还是比较新鲜的，价格不是很便宜，不过还是比超市更划算一点
j***j,star5,京鲜生 泰国山竹 进口山竹 5A级大果 净重2.5kg 单果80-110g，个头够大，果皮稍厚，果肉饱满，口感细腻丝滑，口味甜酸。
g***g,star4,快递很快，昨天下单今天收货，果不算大果，是中等身材，新鲜度不够该卖家的贵味荔枝新鲜，就是买了他家荔枝觉得新鲜不错才决定买这店家的山竹。感觉没有多大惊喜。还算好吧，果的核不多，一个果最多两个核，这点比较满意。
a***s,star5,预售的山竹终于到货了，很新鲜，箱里有冰袋，果子还是湿润的，果子稍徽小点，其他还是不错的，没有铁山竹，也没有坏果，可以吃好久吃不完，如果有还会再次回购，相信京东品质，希望以后能有更多的实惠水果
锅***琳,star5,分量够，整整一箱，有几个不太好的，数量不太多。个头中等骗小，皮是真的一如既往的厚。不过，这个价格真是划算了，很值得。送货超快，早上订，下午到！牛大啦！
D***B,star4,5A级山竹7.5公斤249，比超市便宜些，重量足够，没有缺斤少两，品质凑合，感觉比3A没有好很多，自营生鲜配送也很快。
j***f,star5,这是第三次购买了，真的很大，很漂亮，甜度刚刚好，买给怀孕的媳妇吃的，上次买了两件，这次又买两件，京东生鲜超市真的的给我呢带了了方便。在实体店买的要贵一半。
浪***5,star5,赶上搞活动，京东自营店的水果真便宜。比在超市买便宜多了。京东物流第二天到，真的很方便。山竹个头大小一样。很新鲜。没有发现坏果。
暗***号,star5,包装很好，保护的不错。每一个都很新鲜，味道很甜，没有坏果，吃完了还想吃。就是个头有点小，都是很小个的。比我之前买的要小很多。
S***6,star5,每年都在京东订购山竹，非常好吃，个头符合5A标准，果肉也非常好吃，酸甜可口，打算继续买几箱寄给朋友，亲测可以放心下单啦哈哈
l***e,star5,这个山竹是真好啊，很新鲜，果肉很白很嫩很甜。第一次买了15斤来吃，吃了五六天都很新鲜。京东的生鲜冷链真的是做的太好了，下次我还要买来吃！
天***海,star5,大小负荷介绍，80-100克，总量负荷介绍，5公斤，诚信没有问题。泡沫盒包装，加两个冰袋。送货及时，第二天上午送货上门，售后很负责。
k***e,star5,1.果肉饱满2.没有坏果，个头非常均匀，没有参差不齐3.味道很棒，酸酸甜甜，非常好吃4.非常新鲜，一看就是空运货，航空箱都很棒5.货运速度就不用说了，坚持京东购物
j***e,star5,山竹的个头确实很大，打开后里面的肉瓣也挺大，口味酸甜可口，个别的打开之后坏的，挺可惜，总体这次是非常满意的一次购买。京东物流快，很快，超级快。
B***d,star5,第二次买这山竹了，白白的蒜瓣肉，白白的小猫爪，水果量足，是由原框装来的，保鲜做的非常到位，到家都放在冰箱里了，凉爽歪歪了
泽***7,star5,山竹送货很快。第二天一早就收到了。?。很新鲜。个个都很水灵。剥开里面的果肉也很好吃。很甜。口感很棒。 1kg装。很不错。618活动。价格合理
s***9,star5,这次自己买了一些吃吃，口感很好吃，价格比线下便宜许多啊，线下很贵的，而且这个口感很好吃，全程冷链物流，不错，分享一下，可以推荐！
j***5,star5,之前在京东生鲜就买过山竹了，服务很好，少的都给退钱了，这次又买了，也逐个数了一下，刚好够数，只有1个坏果，无所谓了，其他的都挺好，会继续回购的
j***d,star5,这是今年笫一次买这款山竹，因为往年吃着还不错。新鲜度还行，包装也到位，买的是原箱，外观上没发现腐烂变质情况，希望仍然是酸酸甜甜的口味。
殊***归,star5,非常满意的一次购物体验，买了十斤山竹，只有两个坏的。剩下的每个果子都很饱满，打开的话都是非常紧密的蒜瓣儿肉。口感的话，它属于酸甜口儿的，不会那么甜腻，而且我同事还说有一些牛奶的清香。
G***3,star5,这个原框的山竹很不错，冷链运输，果品不错，均匀，很新鲜。剥开山竹内部很新鲜，白白的。京东自营购买质量有保证，水果很新鲜。推荐购买。
g***9,star5,京东自营的东西一直是我放心购买的理由。京鲜生是京东自营店，他家的山竹我已经买了几年了，没有让我失望过。很新鲜，几乎没有坏果。
z***9,star5,搞活动的时候买的，价格也很优惠，山竹软糯好吃，小朋友很喜欢，物流速度也很快，服务态度也很好，下次还会继续购买哦！非常值得推荐哦！
E***l,star5,一箱个个大只，有冰袋降温运输，用力一压果子开裂剥开，里面雪白的果肉露出了，瓣瓣果肉都挺大的，酸酸甜甜，没有纤维，爽滑细腻的口感，很满意
j***q,star5,看图都是实拍，又大又满足一百多就能实现山竹自由 这也太哇塞了简直不要太爱以前不怎么在京东买东西都不知道京东的好，现在买习惯了，感觉又方便又好用售后各方面都有保障，真的太优秀太赞了
鱼***4,star5,这个山竹真的很好，个头确实大，没有小的参杂，叠劵下单的，超级划算。口感也不酸，水分也足，够新鲜，太值得了。京东配送也相当快…
在***中,star5,错过了上次的预售，一直想买山竹吃，超市买了5个山竹，要了我40块，心痛啊，太贵了。这次618预售活动，果断入手，今天到货很满意，个头我觉得很可以哦，哈哈，这次可以吃了痛快了。
e***o,star5,发现这次买的3A级也挺好，个个前庭饱满，圆润香甜，很是新鲜，框子也很结实，总之非常喜欢。每天午休后来上几颗，生活老美滋了。
i***n,star5,还是有坏果的，比例上客服赔偿了10%，实际应该超出这个比例。但自营的配送是真棒，原框，4A级，好的话新鲜度也很好。还是值得的。
z***i,star5,很好吃的山竹，个头很大。京东快递送货很及时，送到家的时候还是冰凉的。晚上全家人打开来吃了，每一个果的个头都很大，每一个果都很新鲜，很甜，很好吃。几斤一下子就被抢完了。推荐。
j***7,star5,3A级 这次自己买了一些吃吃，口感很好吃，价格比线下便宜许多啊，线下很贵的，而旦这个口感很好吃，全程冷链物流，不错，女儿最爱的水果，分享一下，可以推荐！
j***6,star5,京鲜生新鲜山竹收到了，山竹很新鲜，个头均匀也挺大的，感觉品质很好，先剥开了两个很好吃。包装很好，泡沫箱加冰全程冷链物流，送货很快，很方便，服务很好。活动价也很优惠点。
u***y,star5,我买一大箱酸乳有15斤，足量很足。个头不是特别大，但是我也没买特别大的山竹，都很新鲜，今天下雨，刚到的时候淋湿了，拿回来晾干了一下。好吃还是很好吃的，这个价格很值的，就是一次买的比较多，这种我已经吃了两大盘。
是***啊,star5,都很好，冷链运输，京东水果自营买的水果很棒，快递小哥辛苦了，好大一箱搬上了楼，冰箱塞满，非常多，3A很好，一口都是肉没有籽，非常棒的。京东送货真的快，太满意了。
u***z,star5,山竹水果很新鲜，外皮光亮果子饱满，份量足，大约有90多个。收到后至今吃了几十个。没有发现坏光。支持京东自营商品，品质有保证，物流快捷，送货上门。
j***6,star5,水分充足香甜家人很满意。一次可以吃好几个，每个叶瓣都很绿很新鲜，果瓣圆滑漂亮，果肉厚实而且多汁，分量很足，很新鲜，个头大大的，，剥出来都是白白嫩嫩的，超级新鲜，味道很纯正，打开好多个，个个都新鲜，小朋友们都喜欢规格重量口感味道一口咬下去清新爽口神清气爽整个人都心情大好个头很均匀，椭圆圆的，色泽更是诱人吃了第一口就停不下来，又香又爽，水分很多
g***9,star5,山竹很新鲜，当时买的时候世面上的非常贵，现在价格跟京东买的比也很贵，京东回馈老客户这个价格还是很便宜的，不过一直没有评价，用荔枝荔枝的图片代替吧！京东自营店买的还是很放心的，作为京东多年的老客户，始终信赖京东自营！
s***1,star5,作为消费者和买家，我认为这个商品的体验非常好。首先，从物流上来说，这个商品的配送速度非常快，我下单后的第二天就收到了。其次，在打开包装后，我发现山竹的外壳非常完整，果肉也很鲜美，没有破损或者黑斑。最重要的是，山竹的口感非常好，果肉细嫩多汁，有很浓郁的甜味，非常的下饭。除此之外，山竹还是一种非常营养的水果，富含多种维生素和营养元素，对身体健康有很好的保健作用。总的来说，我非常满意这个商品的品质和体验，我会继续购买这个品牌的山竹，并且向我的朋友和家人推荐它。
豆***来,star5,京东自营的水果真便宜，比在超级市场里购买便宜多了，京东物流也很快，两三天就能收到，山竹个头大小都差不多很均匀，很新鲜，没有发现坏的。
大***延,star5,进口大山竹收到了，昨天下的单今天就到了，物流非常快，送货上门十分方便快捷，这款产品买过好多次了，还会继续回购好多次的，推荐大家购买
j***0,star5,京东的水果自营店里的山竹属于我每年都会买至少一大箱的产品，一箱十五斤，各个新鲜，我和孩子都吃的非常过瘾。价格也比较实惠，会继续买。
h***i,star5,第一次在网上买山竹，感觉也可以了，很新鲜，比在菜市场买的山竹还新鲜。收到货就迫不及待的打开尝了尝，宝宝很喜欢，大人也喜欢，有活动再购买。
s***缘,star5,自营物品，送货上门，原装进口箱子，山竹个头大，口感很不错，大人小孩都非常喜欢吃，真的来了一次山竹自由，买山竹还是要选京东，物美价廉推荐大家购买。
j***3,star5,都不能吃。买给东北老家的父母，鸡蛋和山竹一起到的，被父母放小库了，监控直接看到了，年年都买，习惯好评！比在实体店买的还要好，肉很多，还很甜。京鲜生是京东自营店，他家的山竹我已经买了几年了，没有让我失望过。大品牌的的山竹就是好喝吃，果好，叶子绿超级满意，很好，买了不后悔的产品，多次购买，超级喜欢，非常棒，孩子很喜欢，老婆也很喜欢，怎能不多次购买，推荐大家购买。快递很快就到了。
n***6,star5,完美，产品很惊艳，性价比合适，希望用的长久！很快就到了，全新正品?，包装很仔细，没有问题是正品，和实体店一样，价格还优惠，果断转粉
c***3,star5,买了7.5kg，一大箱，只有一个是坏的，能接受啦，其他的都很新鲜，也很甜，颗粒中度，物流很快，味道鲜甜，会继续回购的，不错
陈***z,star5,经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了，非常满意网上购物。我希望京东的生意会越来越红火，物流会越来越快，包装会越来越结实。六星表扬，多一星不怕你骄傲，犹豫不决的朋友会很快下单，这是良心的推荐。它真的很好，而且价格也很高，所以以后还会在这里买。京东的物流比较想象中要快太多，早上下单没想到第二天下午就收到快递小哥哥的电话了、以后会继续关注！
P***呀,star5,味道很不错哦，价格对比外面要实惠很多的，而且个头还很大的，京东自营店的品质值得大家去试一试的年轻，送货效率还是那么的极速达
q***y,star5,比平时要便宜，囤了不少，特别特别满意?，超级好看?，客服很有礼貌，很客气，良心商家，支持！还是很喜欢吃山竹的，不错哦！
